正确数,总题数,正确率
3,5,0.6
5,6,0.8333333333333334
5,7,0.7142857142857143
3,3,1.0
4,4,1.0
2,3,0.6666666666666666
3,4,0.75
1,3,0.3333333333333333
2,2,1.0
1,3,0.3333333333333333
2,2,1.0
2,4,0.5
2,5,0.4
0,1,0.0
0,3,0.0
0,3,0.0
0,3,0.0
0,3,0.0
0,3,0.0
0,3,0.0
0,3,0.0
0,3,0.0
0,3,0.0
0,3,0.0
0,3,0.0
0,3,0.0
0,1,0.0
0,1,0.0
0,1,0.0
0,2,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,1,0.0
0,2,0.0
0,2,0.0
0,2,0.0
0,2,0.0
0,2,0.0
0,2,0.0
1,3,0.3333333333333333
1,3,0.3333333333333333
0,4,0.0
0,2,0.0
0,3,0.0
0,3,0.0
0,3,0.0
0,3,0.0
3,3,1.0
3,3,1.0
0,3,0.0
0,3,0.0
0,3,0.0
0,3,0.0
2,4,0.5
2,4,0.5
2,3,0.6666666666666666
2,3,0.6666666666666666
2,3,0.6666666666666666
2,3,0.6666666666666666
1,2,0.5
0,2,0.0
